N_unmapped	322679	322679	322679
N_multimapping	9855	9855	9855
N_noFeature	31290	62817	31442
N_ambiguous	8980	23	8950
HHV8GK18_gp01	113	0	113
HHV8_gs01	190	4	187
HHV8GK18_gp38	0	0	0
HHV8GK18_gp39	0	0	0
HHV8GK18_gp62	2	0	2
HHV8GK18_gp63	23	1	22
HHV8GK18_gp64	40	0	40
HHV8GK18_gp65	21	0	21
HHV8GK18_gp79	22081	19	22069
unassigned_gene_1	0	0	0
HHV8_gs02	52	0	52
HHV8_gs03	22	0	22
HHV8_gs04	21	0	21
HHV8_gs05	12	0	12
HHV8_gs06	12	0	12
HHV8_gs07	9	0	9
HHV8_gs08	1	0	1
HHV8_gs09	3	0	3
HHV8_gs10	0	0	0
unassigned_gene_2	107	115	1
