102
0	836	0
0	1649	0
0	3395	0
0	2084	0
0	2534	0
0	3035	0
0	1253	0
0	1220	0
0	611	0
0	629	0
0	965	0
0	1010	0
0	281	0
0	341	0
0	545	0
0	767	0
0	284	0
0	377	0
0	524	0
0	863	0
0	1601	0
0	770	0
0	1646	0
0	770	0
0	1739	0
0	2189	0
0	1211	0
0	2255	0
0	4127	0
0	914	0
0	869	0
0	305	0
0	1139	0
4390	5310	1140
0	230	0
0	581	0
0	1361	0
0	1001	0
0	980	0
0	449	0
0	1331	0
0	1457	0
0	182	0
0	1199	0
0	1349	0
1477	2133	1350
0	833	0
0	1814	0
0	2363	0
0	1220	0
0	764	0
0	500	0
0	1205	0
0	17	0
976	3030	18
0	905	0
0	713	0
795	938	714
0	423	0
518	777	424
0	392	0
0	329	0
0	884	0
0	680	0
0	2528	0
0	48	0
157	1472	49
0	1346	0
0	2265	0
2367	2833	2266
0	1242	0
1339	1793	1243
0	1551	0
1673	2160	1552
0	1070	0
0	1187	0
0	914	0
0	2375	0
0	992	0
0	2783	0
0	7904	0
0	509	0
0	1286	0
0	812	0
0	239	0
0	1400	0
0	905	0
0	179	0
0	563	0
0	770	0
0	3386	0
0	812	0
0	1025	0
0	3887	0
0	460	0
546	647	461
730	837	563
920	1072	671
1150	1239	824
1328	1570	914
1654	1746	1157
1856	2072	1250
