26
28	1082	1	0	0
28818	29894	1	1	1
54664	58973	1	2	2
55665	58973	1	3	3
83886	85387	2	4	4
86105	88441	2	5	5
86105	88441	2	5	6
88543	89039	2	5	6
88543	89141	2	5	5
89472	90944	2	6	7
91041	91511	2	6	7
91852	93619	2	7	8
93741	94324	2	7	8
117534	118232	2	8	9
118074	118096	2	9	10
119585	119606	2	10	11
120233	120252	2	11	12
120604	120626	2	12	13
121043	121064	2	13	14
121513	121534	2	14	15
121702	121723	2	15	16
121833	121855	2	16	17
121976	121997	2	17	18
122136	122158	2	18	19
127996	129367	1	19	20
129516	130670	1	19	20
