21
unassigned_transcript_1	28	1082	1082	1	1	0	0
unassigned_transcript_19	28818	29894	1082	1	1	1	1
unassigned_transcript_39	54664	58973	29894	1	1	2	2
unassigned_transcript_40	55665	58973	58973	1	1	3	3
unassigned_transcript_63	83886	85387	58973	2	1	4	4
unassigned_transcript_65	86105	89039	85387	2	2	5	5
unassigned_transcript_64	86105	89141	89039	2	2	7	5
unassigned_transcript_66	89472	91511	89141	2	2	9	6
unassigned_transcript_67	91852	94324	91511	2	2	11	7
unassigned_transcript_82	117534	118232	94324	2	1	13	8
unassigned_transcript_83	118074	118096	118232	2	1	14	9
unassigned_transcript_84	119585	119606	118232	2	1	15	10
unassigned_transcript_85	120233	120252	119606	2	1	16	11
unassigned_transcript_86	120604	120626	120252	2	1	17	12
unassigned_transcript_87	121043	121064	120626	2	1	18	13
unassigned_transcript_88	121513	121534	121064	2	1	19	14
unassigned_transcript_89	121702	121723	121534	2	1	20	15
unassigned_transcript_90	121833	121855	121723	2	1	21	16
unassigned_transcript_91	121976	121997	121855	2	1	22	17
unassigned_transcript_92	122136	122158	121997	2	1	23	18
unassigned_transcript_97	127996	130670	122158	1	2	24	19
